,연번,시설코드,대상 유형,근거법규,사회복지시설,"시설기관 
대분류","시설기관 
세분류",시설기관명,"사업자번호
(기관기호)",시설기관장,대표전화,대표메일,팩스,주소,운영주체,운영주체명,정원 (2026.6),현원 (2026.6),"VMS 
인증여부","가평SSN 
회원여부",아이디,비밀번호,담당자,연락처,직책,"담당자
메일",홈페이지,비고
,,,노숙인,노숙인복지법,Y,노숙인복지시설,노숙인요양시설,가평꽃동네 사랑의 집,132-82-07586,조현수,031-589-0206,gpnosook@kkot.or.kr,031-589-0209,조종면 꽃동네길 53-37,법인,사회복지법인 (재)예수의꽃동네유지재단(한국천주교 청주교구 소속),150,,,,,,,,,,https://www.kkot.or.kr/home/,고령/만성질환 노숙인 요양시설
,,,노숙인,노숙인복지법,Y,노숙인복지시설,노숙인재활시설,가평꽃동네 요한의 집,132-82-12089,최승범,031-589-0206,gpnosook@kkot.or.kr,031-589-0209,조종면 꽃동네길 53-37,법인,사회복지법인 (재)예수의꽃동네유지재단(한국천주교 청주교구 소속),120,,,,,,,,,,,"가정과 사회로부터 소외되거나 정신적·신체적 질환을 앓고 있는 노숙인 및 소외계층을 위한 요양, 일상생활 적응 및 사회 복귀 훈련 지원"
,,,노인,대한노인회법,N,노인단체,경로당 (지회),대한노인회 가평군지회,132-82-05410,장동원,031-585-6063,,031-585-7084,"가평읍 가화로 64, 1층 (가평행복누림센터 내)",법인,사단법인 대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내1리 경로당,? ,이상춘,031-582-6693,? ,,가평읍 연인2길 13-8,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내2리 경로당,? ,황구섭,031-582-4264,? ,,가평읍 장터길 15,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내3리 경로당,? ,유근목,031-582-7617,? ,,가평읍 보납로 7,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내4리 경로당,? ,이수열,031-581-2838,? ,,가평읍 중촌로 17-5,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내5리 경로당,? ,김종근,031-582-4190,? ,,가평읍 잎너비길 35,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내6리 경로당,? ,김동규,031-582-2510,? ,,가평읍 새말옛로6번길 7,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내7리 경로당,? ,강석기,031-582-9230,? ,,가평읍 신용길 10,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내8리 경로당,? ,김동권,031-582-9232,? ,,가평읍 자라목3길 8,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내9리 경로당,? ,김용기,031-582-5255,? ,,가평읍 가화로 152,가평군,대한노인회 가평군지회,,,,,,,,,,,,
